Numero,PARTIDA
1,"Trazo de cimentacion, muros e instalaciones"
2,Cisterna
3,Excavaciones drenaje y cimentacion
4,Cimbra losa de cimentacion
5,Nivelacion de plataformas
6,Acero losa de cimentacion
7,Concreto en cimentacion
8,Instalaciones losa de cimentacion
9,Muros planta baja
10,Muros bajo escalera
11,"Castillos, dalas y cerramientos pb"
12,Muros de concreto en pb
13,Muros reforzados pb
14,Instalaciones en muros p.b.
15,Muro lateral cochera
16,Muros y castillos en patio de servicio
17,Instalacion hidraulica y electrica en patio
18,Cimbra en losa de entrepiso 1
19,Acero en losa de entrepiso 1
20,Concreto en losa de entrepiso 1
21,Instalaciones losa de entrepiso 1
22,Escalera de pb-n1
23,Muros nivel 1
24,"Castillos, dalas y cerramientos nivel1"
25,Muros de reforzados en nivel 1
26,Muros de concreto en nivel 1
27,Instalaciones en muros n1
28,Cimbra en losa de entrepiso 2
29,Acero en losa de entrepiso 2
30,Concreto en losa de entrepiso 2
31,Hormigon en losa de entrepiso 2
32,Veneciano en terraza
33,Instalaciones en losa de entrepiso 2
34,Escalera de n1-n2
35,Muros nivel 2
36,"Castillos, dalas y cerramientos nivel2"
37,Muros de concreto en nivel 2
38,Instalaciones en muros n2
39,Cimbra en losa de entrepiso 3
40,Acero en losa de entrepiso 3 inc. pretiles
41,Concreto en losa de entrepiso 3
42,Instalaciones en losa entrepiso 3
43,Albañilerias en azotea y terraza
44,Subcontrato por impermeabilizacion de azotea
45,Apalillado en azotea
46,Estructura tinaco
47,Instalaciones de gas y calentador solar
48,Subcontrato por aplanados de yeso y pasta
49,Base para cocina
50,Aplanados en baños
51,Zarpeos en losas y castillos
52,"Recibir instalaciones de luz, agua"
53,Guiado de ductos
54,Resane en balcon de nivel 1
55,Sardinel en balcon de nivel 1
56,Colocacion de monomandos en regaderas
57,Repison medio baño planta baja
58,Forjado de nicho en escalera
59,Albañilerias de patio y muro medianero
60,Aplanado de patio
61,Albañilerias en cochera
62,Base para cuadro de medicion hidraulico
63,Huellas vehiculares en cochera
64,Limpieza en patio
65,Instalacion de base medidor electrico
66,Instalacion de cuadro de medicion hidraulico
67,Encofrado de tuberia en patio
68,Forjado de registro pluvial en cochera
69,Resane de llave de chorro en cochera
70,Abultado en ventanas
71,Aplanados fachadas ppal
72,Junta fachada ppal
73,Aplanados fachada posterior
74,Junta fachada posterior
75,Pisos y azulejos
76,Recubrimientos en fachada ppal
77,Terminacion de zoclo
78,Elaboracion de sardinel en baños
79,Forjado de jaboneras en area de regaderas
80,Nivelacion de charolas de baños
81,Subcontrato por aplicacion de fondo en fachada principal
82,Subcontrato por aplicacion de pintura 1° mano en fachada principal
83,Subcontrato por aplicacion de pintura 2° mano en fachada principal
84,Subcontrato por aplicacion de fondo en fachada posterior
85,Subcontrato por aplicacion de pintura 1° mano en fachada posterior
86,Subcontrato por aplicacion de pintura 2° mano en fachada posterior
87,Subcontrato por aplicacion de fondo en interiores
88,Subcontrato por aplicacion de pintura 1° mano en interiores
89,Subcontrato por aplicacion de pintura 2° mano en interiores
90,Subcontrato de tablaroca y durock en muros y plafones
91,Subcontrato de ventaneria de aluminio y vidrio iva cero
92,Barandales de herreria en escalera
93,Fabricacion de escalera marina
94,Herreria para rejillas en cocheras y patios
95,Subcontrato por fabricacion y colocacion de barra desayunadora a base de herreria
96,Subcontrato de barandal de herreria entre escalera entre sala
97,Subcontrato de canceles de baño iva cero
98,Subcontrato por topes de aluminio iva cero
99,Subcontrato por numeros de aluminio iva cero
100,Subcontrato por barandales de cristal en balcones iva cero
101,Subcontrato por barandales de cristal en terraza iva cero
102,Subcontrato domos iva cero
103,Colocacion de escalera marina
104,"Subcontrato por suministro e instalacion de cocina integral, closets, muebles de baño. cocina con granito gris, madera en melamina deacuerdo a plano, incluye: tarja, contracanasta, estufa, campana"
105,Pata granito itaunas
106,Splash granito itaunas
107,Subcontrato de carpinteria para puertas madera
108,Suministro de tierra vegetal
109,Suministro y colocacion de pasto en rollo cochera y patio
110,Colocacion de accesorios para baño
111,Amueblado hidraulico y sanitario
112,Amueblado electrico
113,Limpieza gruesa 1 y retiro de escombro fuera de obra
114,Limpieza gruesa de cisterna
115,Subcontrato de laboratorio de control de calidad
116,Detallado de vivienda y garantias
117,Limpieza gruesa 2 y retiro de escombro fuera de obra
118,"Prueba general sanitaria, hidraulica y pluvial"
119,"Instalacion de bomba, boyler, tanque y toma de gas"
120,Instalacion para aire acondicionado
121,Cableado aire acondicionado
122,Base para boiler
123,Limpieza fina de cisterna
124,Guiado telmex de registro a casa
125,Retiro medidor hidráulico
126,Colocacion de medidor hidraulico
127,Colocacion de tinaco y ramaleo de tuberias
128,Colocacion de tanque y control press con alimentacion electrica
129,Conexión de toma de gas a tanque estacionario
130,Alimentacion electrica para bomba sumergible y tanque presurizado 5 hilos
131,Alimentacion de registro a vivienda (ponchado)
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
